"season","Region","village","household","DogID","sex","health","hunt.HH","d.monitored","rr","ctmm.model","AKDE95","AKDEcore","speed","prop.HH","prop.village","space.model","p.space.cat","p.space.YN","np","p.speed.cat","p.speed.YN","nv"
"Wet","Sarh.E","Tarangara","TAR08","TAR08A","F","Moderate","Y",37,"N","OUF anisotropic",212477116,67370793,0.94,61,65,"OUF anisotropic harmonic 1","12hr",1,3.5,"24hr",1,4.95
"Wet","Sarh.E","Tarangara","TAR09","TAR09A","F","Moderate","Y",10,"Y","OUF anisotropic",5348721,1035772,1.22,82,87,"OUF anisotropic harmonic 5","None",0,NA,"24hr",1,10.95
"Wet","Sarh.E","Tarangara","TAR10","TAR10A","M","Moderate","N",8,"Y","OUF anisotropic",460970,110467,1.99,87,96,"OUF anisotropic harmonic 5","None",0,NA,"None",0,NA
"Wet","Sarh.E","Tarangara","TAR11","TAR11A","F","Moderate","Y",7,"Y","OU isotropic",52586,6960,NA,33,90,"OU isotropic harmonic 10","12hr",1,48.43,NA,NA,NA
"Wet","Sarh.E","Tarangara","TAR11","TAR11B","F","Good","Y",6,"Y","OUF anisotropic",1861964,182663,1.36,81,87,"OUF anisotropic harmonic 5","None",0,NA,"24hr",1,10.79
"Wet","Sarh.E","Tarangara","TAR11","TAR11C","F","Moderate","Y",4,"Y","OUF anisotropic",68350,16665,0.67,92,97,"OUF anisotropic harmonic 1","None",0,NA,"12hr",1,1.4
"Wet","Sarh.E","Tarangara","TAR12","TAR12A","F","Moderate","Y",1,"Y","OU anisotropic",381552,76461,NA,67,87,"OU anisotropic harmonic 0","None",0,NA,"None",0,NA
"Wet","Sarh.W","Bembaya","BEM01","BEM01B","F","Moderate","N",37,"Y","OU anisotropic",18849,2346,NA,83,96,"OU anisotropic harmonic 4","24hr",1,19.76,NA,NA,NA
"Wet","Sarh.W","Bembaya","BEM01","BEM01A","M","Good","N",6,"Y","OUF anisotropic",170720,16540,1.09,74,88,"OUF anisotropic harmonic 1","None",0,NA,"24hr",1,0.94
"Wet","Sarh.W","Bembaya","BEM02","BEM02A","M","Good","Y",39,"Y","OU anisotropic",54863,6255,NA,34,95,"OUF anisotropic harmonic 2","24hr",1,12.91,NA,NA,0
"Wet","Sarh.W","Bembaya","BEM03","BEM03C","F","Moderate","Y",9,"Y","OU anisotropic",331541,78595,NA,71,95,"OU anisotropic harmonic 0","None",0,NA,"None",0,NA
"Wet","Sarh.W","Bembaya","BEM03","BEM03A","M","Poor","Y",38,"Y","OU anisotropic",134832,25342,NA,57,94,"OU anisotropic harmonic 2","24hr",1,14.6,NA,NA,NA
"Wet","Sarh.W","Bembaya","BEM03","BEM03E","M","Moderate","Y",26,"Y","OU anisotropic",10333,2126,NA,66,97,"OU anisotropic harmonic 3","12hr",1,27.92,NA,NA,NA
